#name	infoboxid	title	issn	abbreviation	language	country	former_name	bluebook	discipline	peer-reviewed	publisher	history	openaccess	license	impact	impact-year	CODEN	JSTOR	LCCN	OCLC	ISSNlabel	eISSN	category
Digital Scholarship in the Humanities	1	Digital Scholarship in the Humanities	NULL	NULL	NULL		NULL	NULL	Digital Humanities	NULL	Oxford University Press	1986–present									NULL	1477-4615	NULL
Metallomics (journal)	1	Metallomics	NULL	Metallomics	NULL	United Kingdom	NULL	NULL	Chemistry, biology		Royal Society of Chemistry	2009-present	Hybrid	NULL	3.585	2014	METAJS	NULL	2009243228	437817445	NULL	1756-591X	NULL
African Zoology	1	African Zoology	NULL	Afr. Zool.	NULL	South Africa	NULL	NULL	Zoology	NULL	Zoological Society of Southern Africa	1965–present	NULL	NULL	0.746	2012	NULL	NULL	00227123	44395820	NULL	NULL	NULL
ACM Transactions on Programming Languages and Systems	1	ACM Transactions on Programming Languages and Systems	NULL	ACM Trans. Program. Lang. Syst.	NULL	United States	NULL	NULL	Programming language	NULL	ACM	1979–present									NULL	1558-4593	NULL
Journal of Humanistic Psychology	1	Journal Of Humanistic Psychology	NULL	J. Humanist. Psychol.	NULL	United Kingdom	NULL	NULL	Psychology	NULL	SAGE Publications	1961-present			0.622	2015			66098467	1783229	NULL	1552-650X	NULL
Muelleria (journal)	1	Muelleria	NULL	Muelleria	NULL	Australia	NULL	NULL	Botany	NULL	Royal Botanic Gardens Melbourne	1955–present	NULL	NULL	NULL	NULL	MAJBAC	NULL	95655014	01641190	NULL	NULL	NULL
Social Compass	1	Social Compass	NULL	Soc. Compass	English, French		NULL	NULL	Sociology of religion	NULL	SAGE Publications	1953-present			0.224	2010			67122874	42208179	NULL	1461-7404	NULL
Journal of the Electrochemical Society	1	Journal of The Electrochemical Society	NULL	J. Electrochem. Soc.	NULL		NULL	NULL	Electrochemistry	NULL	Electrochemical Society		NULL	NULL	3.259	2016	JESOAN	NULL	48010635	1029376	NULL	1945-7111	NULL
The Open Clinical Chemistry Journal	1	The Open Clinical Chemistry Journal	NULL	Open Clin. Chem. J.	NULL		NULL	NULL	Clinical Chemistry	NULL	Bentham Science Publishers	2008-present	Yes	Creative Commons Attribution non-commercial License				NULL			NULL		NULL
Cell Biology International	1	Cell Biology International	NULL	Cell Biol. Int.	NULL		NULL	NULL	Cell biology	NULL	Portland Press	1977-present			1.747	2010	CBIIEV		93655029	26684328	NULL	1095-8355	NULL
Social Science Information	1	Social Science Information	NULL	Soc. Sci. Inf.	English, French		NULL	NULL	Social sciences	NULL	SAGE Publications	1962-present			0.550	2010	SSCIBL		86649437	44689977	NULL	1461-7412	NULL
The American Review of Public Administration	1	The American Review of Public Administration	NULL	Am. Rev. Public Adm.	NULL		NULL	NULL	Public administration	NULL	Sage Publications	1967-present			0.875	2013			82643334	7075486	NULL	1552-3357	NULL
Biokhimiya	1	Biokhimiya	NULL	Biokhim., Biochem. (Mosc.)	Russian, English	Russia	NULL	NULL	Biochemistry		Nauka/Interperiodica	1936–present			1.058	2011	BIORAK				NULL	1608-3040	NULL
CNS Neuroscience & Therapeutics	1	CNS Neuroscience & Therapeutics	NULL	CNS Neurosci. Ther.	NULL		NULL	NULL	Neurology	NULL	Wiley-Blackwell	1995–present	NULL	NULL	3.931	2014	NULL	NULL	2008243471	221972947	NULL	1755-5949	NULL
Archives of Osteoporosis	1	Archives of Osteoporosis	NULL	Arch. Osteoporos.	NULL		NULL	NULL	Osteoporosis	NULL	Springer Science+Business Media	2006–present	NULL	NULL				NULL		132980566	NULL	1862-3514	NULL
Journal of Child Psychology and Psychiatry	1	Journal of Child Psychology and Psychiatry	NULL	J. Child Psychol. Psychiatry	NULL		NULL	NULL	NULL	NULL	Wiley-Blackwell	1960–present	NULL	NULL	4.40	2015	JPPDAI	NULL	NULL	01307942	NULL	0021-9630	NULL
IEEE Magnetics Letters	1	IEEE Magnetics Letters	NULL	IEEE Magn. Lett.	NULL		NULL	NULL	Magnetism, magnetic materials	NULL	IEEE Magnetics Society		Hybrid							649659684	NULL		NULL
Transcultural Psychiatry	1	Transcultural Psychiatry	NULL	Transcult. Psychiatry	NULL	United Kingdom	NULL	NULL	Psychiatry Anthropology	NULL	SAGE Publications	1956-present			2.114	2014			97643427	36732161	NULL	1461-7471	NULL
American Journal of Orthodontics and Dentofacial Orthopedics	1	American Journal of Orthodontics and Dentofacial Orthopedics	NULL	Am. J. Orthod. Dentofac. Orthop.	NULL	NULL	American Journal of Orthodontics, American Journal of Orthodontics and Oral Surgery	NULL	Dentistry	NULL	Elsevier	1915-present			1.98	2016				723602785	NULL	1097-6752	NULL
Religious Studies (journal)	1	Religious Studies	NULL	Relig. Stud.	NULL		NULL	NULL	Religious studies, philosophy	NULL	Cambridge University Press	1965–present	NULL	NULL				00344125		1763674	NULL	1469-901X	NULL
Proceedings of the Institution of Mechanical Engineers, Part P: Journal of Sports Engineering and Technology	1	Proceedings of the Institution of Mechanical Engineers, Part P: Journal of Sports Engineering and Technology	NULL	Proc. Inst. Mech. Eng. P J. Sports Eng. Technol.	NULL	United Kingdom	NULL	NULL	Sports engineering	NULL	Sage Publications	2008-present			0.615	2013			2008252096	232368099	NULL	1754-338X	NULL
Government and Opposition	1	Government and Opposition	NULL	Gov. Oppos.	NULL			NULL	Politics	NULL	Cambridge University Press	1965-present			0.686	2014		NULL	65009983	904489489	NULL	1477-7053	NULL
Pan American Journal of Public Health	1	Pan American Journal of Public Health	NULL	Rev. Panam. Salud Publica	English, Portuguese, Spanish		NULL	NULL	Public health	NULL	Pan American Health Organization	1997–present	Yes		0.762	2010	RPSPFQ		97655593	36421075	NULL	1680-5348	NULL
The Open Ecology Journal	1	The Open Ecology Journal	NULL	Open Ecol. J.	NULL		NULL	NULL	Ecology	NULL	Bentham Science Publishers	2008-present	Yes	Creative Commons Attribution non-commercial License			OEJPF7	NULL		317717553	NULL		NULL
The Society for the Study of the Multi-Ethnic Literature of the United States	1	MELUS	NULL		NULL	United States	NULL	NULL	Literature, ethnic studies	NULL	Oxford University Press on behalf of The Society for the Study of the Multi-Ethnic Literature of the United States	1974-present		NULL				0163755X	79642925	50709793	NULL	1946-3170	NULL
Journal of Applied Gerontology	1	Journal Of Applied Gerontology	NULL	J. Appl. Gerontol.	NULL		NULL	NULL	Gerontology	NULL	SAGE Publications	1982-present			1.638	2016			82645314	8586390	NULL	1552-4523	NULL
Paleontological Journal	1	Paleontological Journal	NULL	Paleontol. J.	English, Russian		NULL	NULL	Paleontology	NULL	MAIK Nauka/Interperiodica in collaboration with Springer Science+Business Media	1967–present			0.454	2011			72015751	1639478	NULL	1555-6174	NULL
Journal of Emotional and Behavioral Disorders	1	Journal Of Emotional And Behavioral Disorders	NULL	J. Emot. Behav. Disord.	NULL	United States	NULL	NULL	Education	NULL	SAGE Publications	1993-present			1.659	2014			93659129	26024532	NULL	1538-4799	NULL
Criminal Justice and Behavior	1	Criminal Justice And Behavior	NULL	Crim. Justice Behav.	NULL		NULL	NULL	Criminology	NULL	SAGE Publications	1973-present			1.708	2011	CJBHAB		74643412	1793415	NULL	1552-3594	NULL
The Common (magazine)	1	The Common	NULL		English	United States	NULL	NULL	Literary magazine		The Common Foundation	2011-present									NULL		NULL
European Journal of Anaesthesiology	1	European Journal of Anaesthesiology	NULL	Eur. J. Anaesthesiol.	NULL		NULL	NULL	Anaesthesiology	NULL	Lippincott Williams & Wilkins	1984–present	NULL	NULL	3.634	2015	EJANEG	NULL		11092625	NULL	1365-2346	NULL
Journal of Elastomers and Plastics	1	Journal of Elastomers and Plastics	NULL	J. Elastom. Plast.	NULL		NULL	NULL	Material science	NULL	Sage Publications	1969-present			0.714	2013	JEPLAX		74644802	1794056	NULL	1530-8006	NULL
Journal of Positive Behavior Interventions	1	Journal of Positive Behavioral Interventions	NULL	J. Posit. Behav. Interv.	NULL	United States	NULL	NULL	Education	NULL	SAGE Publications	1999-present			1.409	2014			99113390	38562547	NULL	1538-4772	NULL
Paladyn	1	Paladyn	NULL	Paladyn	NULL		NULL	NULL	Robotics	NULL	Versita	2010-present								585979763	NULL	2081-4836	NULL
Amerasia Journal	1	Amerasia Journal	NULL	Amerasia J.	NULL	United States	NULL	NULL	Asian American studies	NULL	Asian American Studies CenterUniversity of California, Los Angeles	1971-present	NULL	NULL			AMEJEZ		73642728	746947524	NULL	1075-1300	NULL
Journal of Child Neurology	1	Journal Of Child Neurology	NULL	J. Child Neurol.	NULL		NULL	NULL	Pediatric neurology	NULL	Sage Publications	1986-present			1.385	2012			2009201854	12041143	NULL	1708-8283	NULL
Journal of Adolescent Research	1	Journal Of Adolescent Research	NULL	J. Adolesc. Res.	NULL	United Kingdom	NULL	NULL	Psychology	NULL	SAGE Publications	1986-present			1.439	2015			88659396	10608553	NULL	1552-6895	NULL
Journal of Global Drug Policy and Practice	1	Journal of Global Drug Policy and Practice	NULL	J. Global Drug Policy Prac.	NULL	United States	NULL	NULL	Drug policy		Drug Free America Foundation	2006–present	Yes						2006216251	74670291	NULL		NULL
Aliso	1	Aliso	NULL	Aliso	NULL	United States	NULL	NULL	Botany	NULL	Rancho Santa Ana Botanic Garden	1948–present	Delayed one year	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2327-2929	NULL
Journal of Power Sources	1	Journal of Power Sources	NULL	J. Power Sources	NULL		NULL	NULL	Electrochemistry	NULL	Elsevier	1976-present			6.227	2014					NULL		NULL
Indian Journal of Asian Affairs	1	Indian Journal of Asian Affairs	NULL	Indian J. Asian Aff.	NULL	India	NULL	NULL	Asian Affairs			1988-present	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Current Molecular Medicine	1	NULL	NULL	Curr. Mol. Med.	NULL		NULL	NULL	Molecular medicine		Bentham Science Publishers	2001–present			4.476	2011	CMMUBP			47091629	NULL	1875-5666	NULL
Cultural Geographies	1	Cultural Geographies	NULL	Cult. Geogr.	NULL		NULL	NULL	Cultural geography	NULL	Sage Publications	1994-present			2.095	2015			2002235404	488157568	NULL	1477-0881	NULL
Proceedings of the Institution of Mechanical Engineers, Part C: Journal of Mechanical Engineering Science	1	Proceedings of the Institution of Mechanical Engineers, Part C: Journal of Mechanical Engineering Science	NULL	Proc. Inst. Mech. Eng. C J. Mech. Eng. Sci.	NULL		NULL	NULL	Mechanical engineering		Sage Publications on behalf of the Institution of Mechanical Engineers				0.589	2013	PMCSED		84650606	9408679	NULL	2041-2983	NULL
Clinical Trials (journal)	1	Clinical Trials	NULL	clin. trials.	NULL		NULL	NULL	Clinical trials, medical research methodology	NULL	SAGE Publications	2004-present			2.356	2010			2004256012	300861591	NULL		NULL
Psychosis (journal)	1	Psychosis	NULL	Psychosis	NULL		NULL	NULL	Psychiatry, psychology	NULL	Routledge	2009–present								153927002	NULL	1752-2447	NULL
World Competition	1	World Competition	NULL	World Compet.	NULL	NULL	NULL	NULL	Economics, law	NULL	Wolters Kluwer	1977-present	NULL	NULL	NULL	NULL	NULL	NULL	NULL	45105753	NULL	NULL	NULL
Journal of Rheology	1	Journal of Rheology	NULL	J. Rheol.	NULL	USA	NULL	NULL	Physics		American Institute of Physics	1929–present	NULL	NULL	2.916	2015	JORHD2	NULL	78646482	3526986	NULL		NULL
Journal of Cross-Cultural Gerontology	1	Journal of Cross-Cultural Gerontology	NULL	J. Cross Cult. Gerontol.	NULL		NULL	NULL	Aging	NULL	Springer Science+Business Media	1986-present	NULL	NULL	0.900	2010	JCCGEB	NULL	94660501	12823676	NULL	1573-0719	NULL
Technical Communication Quarterly	1	Technical Communication Quarterly	NULL	Tech. Comm. Q.	NULL		NULL	NULL	Technical writing	NULL	Routledge on behalf of the Association of Teachers of Technical Writing	1992-present	NULL	NULL	NULL	NULL	TCQEAB	NULL	92642719	795955005	NULL	1542-7625	NULL
Open Biology	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
European Transactions on Telecommunications	1	European Transactions on Telecommunications	NULL	Eur. Trans. Telecommun.	NULL		NULL	NULL	Telecommunications	NULL	Wiley-Blackwell	1990-present			0.448	2010			97648206	35682302	NULL	1541-8251	NULL
Health and Human Rights	1	Health and Human Rights	NULL	Health Hum. Rights	NULL	United States	NULL	NULL	Public health, human rights	NULL	Harvard University Press	1994-present					HHRIF4		94648723	243563202	NULL	2150-4113	NULL
Prosthetics and Orthotics International	1	Prosthetics and Orthotics International	NULL	J. Prosthet. Orthot. Int.	NULL	United Kingdom	NULL	NULL	Health Sciences	NULL	SAGE Publications	1964-present			0.634	2010				3486810	NULL	1746-1553	NULL
Museums Australia	1	MuseumsAustralia magazine	NULL		English	Australia	NULL	NULL	museum administration		Museums Australia	2003								54366605	NULL		NULL
Current Sociology	1	Current Sociology	NULL	Curr. Sociol.	NULL		NULL	NULL	Sociology	NULL	Sage Publications	1952-present			1.643	2016			55057288	613085705	NULL	1461-7064	NULL
Theory, Culture & Society	1	Theory, Culture & Society	NULL	Theor. Cult. Soc.	NULL		NULL	NULL	Sociology	NULL	SAGE Publications	1982-present			1.702	2015			93646068	38905209	NULL	1460-3616	NULL
Proceedings of the Institution of Mechanical Engineers, Part B: Journal of Engineering Manufacture	1	Proceedings of the Institution of Mechanical Engineers, Part B: Journal of Engineering Manufacture	NULL	Proc. Inst. Mech. Eng., B J. Eng. Manuf.	NULL		NULL	NULL	Manufacturing engineering		Sage Publications on behalf of the Institution of Mechanical Engineers	1989-present			0.661	2013	PIBMEU		90656627	705259037	NULL	2041-2975	NULL
Media, Culture & Society	1	Media, Culture & Society	NULL	Media Cult. Soc.	NULL		NULL	NULL	Media studies	NULL	Sage Publications	1979-present			1.139	2013			84644179	38525833	NULL	1460-3675	NULL
Journal of Planning Education and Research	1	Journal of Planning Education and Research	NULL	J. Plann. Educ. Res.	NULL		NULL	NULL	Planning	NULL	Sage Publications on behalf of the Association of Collegiate Schools of Planning	1981-present			1.383	2013			84645933	8399085	NULL	1552-6577	NULL
Academy of Management Review	1	Academy of Management Review	NULL	Acad. Manag. Rev.	NULL	United States	NULL	NULL	Management	NULL	Academy of Management	1976–present		NULL	6.169	2011	NULL	03637425	NULL	231040504	NULL		NULL
European History Quarterly	1	European History Quarterly	NULL	Eur. Hist. Q.	NULL		NULL	NULL	History	NULL	SAGE Publications	1971-present			0.262	2014	EHIQEH		84643695	123479187	NULL	1461-7110	NULL
Revista Colombiana de Estadistica	1	Revista Colombiana de Estadistica	NULL		English	Colombia	NULL	NULL	Statistics	NULL	National University of Colombia	1968, 1981-present	NULL	NULL	0.179	2014	NULL	NULL	NULL	229174225	NULL	NULL	NULL
Proceedings of the Institution of Mechanical Engineers	1	Proceedings of the Institution of Mechanical Engineers	NULL	Proc. Inst. Mech. Eng.	NULL	United Kingdom	NULL	NULL	Mechanical engineering		Institution of Mechanical Engineers	1847–present					PIMLAA		08018925		NULL		NULL
The AWA Review	1	The AWA Review	NULL		English	United States	NULL	NULL			Antique Wireless Association	1986 to present									NULL		NULL
Nanotechnology (journal)	1	Nanotechnology	NULL	Nanotechnology	NULL	United Kingdom	NULL	NULL	Nanotechnology	NULL	IOP Publishing	1990-present		NULL	3.440	2016	NNOTER		NULL		NULL	1361-6528	NULL
Palaeogeography, Palaeoclimatology, Palaeoecology	1	Palaeogeography, Palaeoclimatology, Palaeoecology	NULL	Palaeogeogr. Palaeoclimatol. Palaeoecol.	English		NULL	NULL	Palaeontology	NULL	Elsevier	1965–present			2.525	2015	PPPYAB		65009956	01761774	NULL		NULL
Translation and Literature	1	Translation and Literature	NULL		NULL		NULL	NULL	Literature	NULL	Edinburgh University Press	1992–present	NULL	NULL	NULL	NULL	NULL	09681361		51782651	NULL	1750-0214	NULL
American Journal of Medical Quality	1	American Journal of Medical Quality	NULL	Am. J. Med. Qual.	NULL		NULL	NULL	Quality control in medicine	NULL	Sage Publications	1992-present			1.252	2014			94660087	25797414	NULL	1555-824X	NULL
International Journal of Surgical Pathology	1	International Journal Of Surgical Pathology	NULL	Int. J. Surg. Pathol.	NULL	United Kingdom	NULL	NULL	Medical Sciences	NULL	SAGE Publications	1993-present			1.134	2010	IJSPFL		2007214840	192031701	NULL	1940-2465	NULL
Journal of Social and Personal Relationships	1	Journal of Social and Personal Relationships	NULL	J. Soc. Pers. Relatsh.	NULL		NULL	NULL	Psychology	NULL	Sage Publications	1984-present			1.459	2015	JSRLE9		97652884	10643317	NULL	1460-3608	NULL
Veterinary Immunology and Immunopathology	1	Veterinary Immunology & Immunopathology	NULL	Vet. Immunol. Immunopathol.	NULL		NULL	NULL	Allergy, immunology, veterinary medicine	NULL	Elsevier	1979-present	Hybrid	NULL	1.535	2014	VIIMDS	NULL	NULL	05867096	NULL	1873-2534	NULL
Journal of Bioactive and Compatible Polymers	1	Journal of Bioactive and Compatible Polymers	NULL	J. Bioact. Compat. Polym.	NULL		NULL	NULL	Materials science	NULL	Sage Publications	1986-present			2.500	2013	JBCPEV		93093542	231044699	NULL	1530-8030	NULL
Homicide Studies	1	Homicide Studies	NULL	Homicide Stud.	NULL		NULL	NULL	Criminology	NULL	SAGE Publications	1979-present			0.619	2011			97652850	34716238	NULL	1552-6720	NULL
Language Testing	1	Language Testing	NULL	Lang. Test.	NULL		NULL	NULL	Language education	NULL	SAGE Publications	1984-present			1.106	2011			89645730	263607215	NULL	1477-0946	NULL
Existenz (journal)	1	Existenz	NULL		NULL	United States	NULL	NULL	Philosophy	NULL	Open Source	2006–present	yes	NULL						69669109	NULL	1932-1066	NULL
Journal of Experimental Nanoscience	1	Journal of Experimental Nanoscience	NULL	J. Exp. Nanosci.	NULL		NULL	NULL	Nanoscience	NULL	Taylor & Francis	2006-present	NULL	NULL	0.875	2012	JENOBX	NULL	2007243092	288963937	NULL	1745-8099	NULL
Archives of Virology	1	NULL	NULL	Arch. Virol.	NULL		NULL	NULL	Virology	NULL	Springer Science+Business Media	1939–present	NULL	NULL	2.111	2011	ARVIDF	NULL	75646737	02243267	NULL	1432-8798	NULL
Computational and Mathematical Organization Theory	1	Computational and Mathematical Organization Theory	NULL	Comput. Math. Organ. Theory	NULL		NULL	NULL	Organization theory	NULL	Springer Science+Business Media	1995–present			0.923	2013			sn97047289	41558316	NULL	1572-9346	NULL
Contemporary Accounting Research	1	Contemporary Accounting Research	NULL	Contemp. Account. Res.	English, French		NULL	NULL	Accounting		Wiley-Blackwell on behalf of the Canadian Academic Accounting Association	1984-present			1.564	2012				612112250	NULL	1911-3846	NULL
